"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration_max","duration_min","duration_only"
138,1,1813-10-16 08:30:00,1813-10-16 08:30:00,1813-10-16 18:30:00,1813-10-16 18:30:00,600,600,FALSE
138,2,1813-10-18 09:00:00,1813-10-18 09:00:00,1813-10-18 18:30:00,1813-10-18 18:30:00,570,570,FALSE
138,3,1813-10-19 10:00:00,1813-10-19 10:00:00,1813-10-19 14:00:00,1813-10-19 14:00:00,240,240,FALSE
139,1,1813-10-30 09:00:00,1813-10-30 09:00:00,1813-10-30 17:30:00,1813-10-30 17:30:00,510,510,FALSE
139,2,1813-10-31 07:00:00,1813-10-31 07:00:00,1813-10-31 11:00:00,1813-10-31 11:00:00,240,240,FALSE
140,1,1814-02-01 13:00:00,1814-02-01 13:00:00,1814-02-01 20:00:00,1814-02-01 20:00:00,420,420,FALSE
141,1,1814-03-09 06:00:00,1814-03-09 06:00:00,1814-03-09 17:00:00,1814-03-09 17:00:00,660,660,FALSE
141,2,1814-03-09 19:00:00,1814-03-09 19:00:00,1814-03-09 22:00:00,1814-03-09 22:00:00,180,180,FALSE
141,3,1814-03-10 06:00:00,1814-03-10 06:00:00,1814-03-10 17:00:00,1814-03-10 17:00:00,660,660,FALSE
142,1,1814-03-20 14:00:00,1814-03-20 14:00:00,1814-03-20 19:30:00,1814-03-20 19:30:00,330,330,FALSE
142,2,1814-03-21 15:00:00,1814-03-21 15:00:00,1814-03-21 18:00:00,1814-03-21 18:00:00,180,180,FALSE
143,1,1815-06-16 14:00:00,1815-06-16 14:00:00,1815-06-16 21:30:00,1815-06-16 21:30:00,450,450,FALSE
144,1,1815-06-16 14:30:00,1815-06-16 14:30:00,1815-06-16 21:30:00,1815-06-16 21:30:00,420,420,FALSE
145,1,1815-06-18 11:30:00,1815-06-18 11:30:00,1815-06-18 21:30:00,1815-06-18 21:30:00,600,600,FALSE
146,1,1813-10-05 14:00:00,1813-10-05 14:00:00,1813-10-05 14:10:00,1813-10-05 14:10:00,10,10,FALSE
147,1,1814-07-05 17:00:00,1814-07-05 17:00:00,1814-07-05 18:00:00,1814-07-05 18:00:00,60,60,FALSE
148,1,1814-07-25 18:00:00,1814-07-25 18:00:00,1814-07-26 00:00:00,1814-07-26 00:00:00,360,360,FALSE
149,1,1815-01-08 06:00:00,1815-01-08 06:00:00,1815-01-08 06:45:00,1815-01-08 06:45:00,45,45,FALSE
150,1,1819-08-07 00:00:00,1819-08-08 00:00:00,1819-08-07 00:00:00,1819-08-08 00:00:00,1440,0,FALSE
151,1,1821-06-25 00:00:00,1821-06-26 00:00:00,1821-06-25 00:00:00,1821-06-26 00:00:00,1440,0,FALSE
152,1,1822-04-07 00:00:00,1822-04-08 00:00:00,1822-04-07 00:00:00,1822-04-08 00:00:00,1440,0,FALSE
153,1,1822-05-24 09:00:00,1822-05-24 09:00:00,1822-05-24 12:00:00,1822-05-24 12:00:00,180,180,FALSE
154,1,1824-08-06 00:00:00,1824-08-07 00:00:00,1824-08-06 00:00:00,1824-08-07 00:00:00,1440,0,FALSE
155,1,1824-12-09 09:00:00,1824-12-09 09:00:00,1824-12-09 19:00:00,1824-12-09 19:00:00,600,600,FALSE
156,1,1836-04-21 16:30:00,1836-04-21 16:30:00,1836-04-21 16:48:00,1836-04-21 16:48:00,18,18,FALSE
157,1,1846-05-08 14:30:00,1846-05-08 14:30:00,1846-05-08 19:30:00,1846-05-08 19:30:00,300,300,FALSE
158,1,1846-05-09 16:00:00,1846-05-09 16:00:00,1846-05-09 17:30:00,1846-05-09 17:30:00,90,90,FALSE
159,1,1847-02-22 15:00:00,1847-02-22 15:00:00,1847-02-22 18:45:00,1847-02-22 18:45:00,225,225,FALSE
159,2,1847-02-23 06:00:00,1847-02-23 06:00:00,1847-02-23 18:45:00,1847-02-23 18:45:00,765,765,FALSE
160,1,1847-04-17 12:00:00,1847-04-17 12:00:00,1847-04-17 19:00:00,1847-04-17 19:00:00,420,420,FALSE
160,2,1847-04-18 07:00:00,1847-04-18 07:00:00,1847-04-18 12:00:00,1847-04-18 12:00:00,300,300,FALSE
161,1,1847-08-20 05:45:00,1847-08-20 05:45:00,1847-08-20 06:02:00,1847-08-20 06:02:00,17,17,FALSE
162,1,1847-08-20 08:00:00,1847-08-20 08:00:00,1847-08-20 08:30:00,1847-08-20 08:30:00,30,30,FALSE
162,2,1847-08-20 12:30:00,1847-08-20 12:30:00,1847-08-20 15:30:00,1847-08-20 15:30:00,180,180,FALSE
163,1,1847-09-08 05:00:00,1847-09-08 05:00:00,1847-09-08 07:00:00,1847-09-08 07:00:00,120,120,FALSE
164,1,1847-09-13 05:50:00,1847-09-13 05:50:00,1847-09-13 18:50:00,1847-09-13 18:50:00,780,780,FALSE
165,1,1854-09-20 14:30:00,1854-09-20 14:30:00,1854-09-20 17:30:00,1854-09-20 17:30:00,180,180,FALSE
166,1,1854-11-05 05:45:00,1854-11-05 05:45:00,1854-11-05 13:00:00,1854-11-05 13:00:00,435,435,FALSE
167,1,1859-06-04 10:30:00,1859-06-04 10:30:00,1859-06-04 19:30:00,1859-06-04 19:30:00,540,540,FALSE
168,1,1859-06-24 07:00:00,1859-06-24 07:00:00,1859-06-24 18:30:00,1859-06-24 18:30:00,690,690,FALSE
169,1,1866-07-03 09:00:00,1866-07-03 09:00:00,1866-07-03 17:00:00,1866-07-03 17:00:00,480,480,FALSE
170,1,1866-06-24 08:00:00,1866-06-24 08:00:00,1866-06-24 17:00:00,1866-06-24 17:00:00,540,540,FALSE
171,1,1861-07-21 09:00:00,1861-07-21 09:00:00,1861-07-21 16:00:00,1861-07-21 16:00:00,420,420,FALSE
172,1,1861-08-10 05:30:00,1861-08-10 05:30:00,1861-08-10 11:30:00,1861-08-10 11:30:00,360,360,FALSE
173,1,1861-11-07 10:30:00,1861-11-07 10:30:00,1861-11-07 16:50:00,1861-11-07 16:50:00,380,380,FALSE
174,1,1862-01-19 05:30:00,1862-01-19 05:30:00,1862-01-19 16:00:00,1862-01-19 16:00:00,630,630,FALSE
175,1,1862-02-15 05:50:00,1862-02-15 05:50:00,1862-02-15 15:30:00,1862-02-15 15:30:00,580,580,FALSE
176,1,1862-03-07 10:30:00,1862-03-07 10:30:00,1862-03-07 18:30:00,1862-03-07 18:30:00,480,480,FALSE
176,2,1862-03-08 06:30:00,1862-03-08 06:30:00,1862-03-08 11:30:00,1862-03-08 11:30:00,300,300,FALSE
177,1,1862-03-23 06:00:00,1862-03-23 06:00:00,1862-03-23 08:00:00,1862-03-23 08:00:00,120,120,FALSE
177,2,1862-03-23 14:00:00,1862-03-23 14:00:00,1862-03-23 18:00:00,1862-03-23 18:00:00,240,240,FALSE
178,1,1862-04-06 05:00:00,1862-04-06 05:00:00,1862-04-06 18:00:00,1862-04-06 18:00:00,780,780,FALSE
178,2,1862-04-07 07:30:00,1862-04-07 07:30:00,1862-04-07 16:00:00,1862-04-07 16:00:00,510,510,FALSE
179,1,1862-05-23 14:00:00,1862-05-23 14:00:00,1862-05-23 17:30:00,1862-05-23 17:30:00,210,210,FALSE
180,1,1862-05-25 06:00:00,1862-05-25 06:00:00,1862-05-25 07:30:00,1862-05-25 07:30:00,90,90,FALSE
181,1,1862-06-08 09:00:00,1862-06-08 09:00:00,1862-06-08 12:00:00,1862-06-08 12:00:00,180,180,FALSE
