"isqno","atp_number","start_time_min","start_time_max","end_time_min","end_time_max","duration"
178,1,1862-04-06 05:00:00,1862-04-06 05:00:00,1862-04-06 05:00:00,1862-04-06 05:00:00,
178,2,1862-04-07 07:30:00,1862-04-07 07:30:00,1862-04-07 07:30:00,1862-04-07 07:30:00,
179,1,1862-05-23 14:00:00,1862-05-23 14:00:00,1862-05-23 14:00:00,1862-05-23 14:00:00,
180,1,1862-05-25 06:00:00,1862-05-25 06:00:00,1862-05-25 06:00:00,1862-05-25 06:00:00,
181,1,1862-06-08 09:00:00,1862-06-08 09:00:00,1862-06-08 09:00:00,1862-06-08 09:00:00,
182,1,1862-06-09 07:00:00,1862-06-09 07:00:00,1862-06-09 07:00:00,1862-06-09 07:00:00,
183,1,1862-05-31 13:00:00,1862-05-31 13:00:00,1862-05-31 13:00:00,1862-05-31 13:00:00,
183,2,1862-06-01 06:30:00,1862-06-01 06:30:00,1862-06-01 06:30:00,1862-06-01 06:30:00,
184,1,1862-06-26 15:00:00,1862-06-26 15:00:00,1862-06-26 15:00:00,1862-06-26 15:00:00,
185,1,1862-06-27 12:30:00,1862-06-27 12:30:00,1862-06-27 12:30:00,1862-06-27 12:30:00,
185,2,1862-06-27 18:30:00,1862-06-27 18:30:00,1862-06-27 18:30:00,1862-06-27 18:30:00,
186,1,1862-06-29 09:00:00,1862-06-29 09:00:00,1862-06-29 09:00:00,1862-06-29 09:00:00,
186,2,1862-06-29 17:00:00,1862-06-29 17:00:00,1862-06-29 17:00:00,1862-06-29 17:00:00,
186,3,1862-06-30 16:30:00,1862-06-30 16:30:00,1862-06-30 16:30:00,1862-06-30 16:30:00,
187,1,1862-07-01 15:00:00,1862-07-01 15:00:00,1862-07-01 15:00:00,1862-07-01 15:00:00,
187,2,1862-07-01 18:00:00,1862-07-01 18:00:00,1862-07-01 18:00:00,1862-07-01 18:00:00,
188,1,1862-08-09 15:00:00,1862-08-09 15:00:00,1862-08-09 15:00:00,1862-08-09 15:00:00,
189,1,1862-08-29 05:30:00,1862-08-29 05:30:00,1862-08-29 05:30:00,1862-08-29 05:30:00,
189,2,1862-08-29 13:30:00,1862-08-29 13:30:00,1862-08-29 13:30:00,1862-08-29 13:30:00,
189,3,1862-08-30 12:00:00,1862-08-30 12:00:00,1862-08-30 12:00:00,1862-08-30 12:00:00,
190,1,1862-09-14 09:00:00,1862-09-14 09:00:00,1862-09-14 09:00:00,1862-09-14 09:00:00,
191,1,1862-09-17 05:30:00,1862-09-17 05:30:00,1862-09-17 05:30:00,1862-09-17 05:30:00,
192,1,1862-10-03 10:00:00,1862-10-03 10:00:00,1862-10-03 10:00:00,1862-10-03 10:00:00,
192,2,1862-10-03 15:00:00,1862-10-03 15:00:00,1862-10-03 15:00:00,1862-10-03 15:00:00,
192,3,1862-10-04 09:00:00,1862-10-04 09:00:00,1862-10-04 09:00:00,1862-10-04 09:00:00,
193,1,1862-10-08 14:00:00,1862-10-08 14:00:00,1862-10-08 14:00:00,1862-10-08 14:00:00,
194,1,1862-12-13 11:00:00,1862-12-13 11:00:00,1862-12-13 11:00:00,1862-12-13 11:00:00,
195,1,1862-12-31 07:00:00,1862-12-31 07:00:00,1862-12-31 07:00:00,1862-12-31 07:00:00,
195,2,1862-12-31 14:00:00,1862-12-31 14:00:00,1862-12-31 14:00:00,1862-12-31 14:00:00,
195,3,1863-01-02 16:00:00,1863-01-02 16:00:00,1863-01-02 16:00:00,1863-01-02 16:00:00,
196,1,1863-05-01 11:15:00,1863-05-01 11:15:00,1863-05-01 11:15:00,1863-05-01 11:15:00,
196,2,1863-05-02 12:15:00,1863-05-02 12:15:00,1863-05-02 12:15:00,1863-05-02 12:15:00,
196,3,1863-05-02 17:15:00,1863-05-02 17:15:00,1863-05-02 17:15:00,1863-05-02 17:15:00,
196,4,1863-05-03 05:00:00,1863-05-03 05:00:00,1863-05-03 05:00:00,1863-05-03 05:00:00,
196,5,1863-05-04 18:00:00,1863-05-04 18:00:00,1863-05-04 18:00:00,1863-05-04 18:00:00,
197,1,1863-05-16 10:30:00,1863-05-16 10:30:00,1863-05-16 10:30:00,1863-05-16 10:30:00,
